step,t_years,mean,std
437,0.437,1575.91,310.507
438,0.438,1576.25,310.942
439,0.439,1576.58,311.361
440,0.44,1576.93,311.794
441,0.441,1577.27,312.222
442,0.442,1577.61,312.648
443,0.443,1577.94,313.078
444,0.444,1578.27,313.498
445,0.445,1578.61,313.912
446,0.446,1578.95,314.341
447,0.447,1579.28,314.769
448,0.448,1579.63,315.195
449,0.449,1579.97,315.621
450,0.45,1580.31,316.051
451,0.451,1580.66,316.475
452,0.452,1581,316.904
453,0.453,1581.33,317.326
454,0.454,1581.67,317.749
455,0.455,1582.01,318.17
456,0.456,1582.35,318.592
457,0.457,1582.7,319.017
458,0.458,1583.03,319.437
459,0.459,1583.37,319.867
460,0.46,1583.71,320.293
461,0.461,1584.05,320.714
462,0.462,1584.4,321.138
463,0.463,1584.73,321.561
464,0.464,1585.08,321.982
465,0.465,1585.41,322.405
466,0.466,1585.75,322.829
467,0.467,1586.08,323.255
468,0.468,1586.42,323.679
469,0.469,1586.77,324.11
470,0.47,1587.1,324.522
471,0.471,1587.44,324.945
472,0.472,1587.78,325.37
473,0.473,1588.12,325.802
474,0.474,1588.47,326.222
475,0.475,1588.81,326.642
476,0.476,1589.15,327.06
477,0.477,1589.49,327.483
478,0.478,1589.82,327.906
479,0.479,1590.16,328.322
480,0.48,1590.49,328.729
481,0.481,1590.84,329.157
482,0.482,1591.17,329.571
483,0.483,1591.51,329.987
484,0.484,1591.85,330.412
485,0.485,1592.19,330.83
486,0.486,1592.53,331.246
487,0.487,1592.88,331.667
488,0.488,1593.22,332.086
489,0.489,1593.56,332.501
490,0.49,1593.9,332.918
491,0.491,1594.25,333.337
492,0.492,1594.6,333.765
493,0.493,1594.93,334.177
494,0.494,1595.27,334.599
495,0.495,1595.61,335.021
496,0.496,1595.96,335.435
497,0.497,1596.29,335.845
498,0.498,1596.63,336.25
499,0.499,1596.97,336.665
500,0.5,1597.32,337.091
501,0.501,1597.66,337.508
502,0.502,1598.01,337.929
503,0.503,1598.35,338.348
504,0.504,1598.7,338.763
505,0.505,1599.05,339.182
506,0.506,1599.39,339.594
507,0.507,1599.72,339.999
508,0.508,1600.05,340.405
509,0.509,1600.39,340.818
510,0.51,1600.74,341.225
511,0.511,1601.08,341.643
512,0.512,1601.42,342.058
513,0.513,1601.76,342.471
514,0.514,1602.1,342.882
515,0.515,1602.44,343.297
516,0.516,1602.78,343.714
517,0.517,1603.13,344.132
518,0.518,1603.47,344.551
519,0.519,1603.8,344.96
520,0.52,1604.15,345.371
521,0.521,1604.5,345.787
522,0.522,1604.84,346.197
523,0.523,1605.18,346.611
524,0.524,1605.53,347.031
525,0.525,1605.87,347.439
526,0.526,1606.21,347.841
527,0.527,1606.56,348.267
528,0.528,1606.9,348.682
529,0.529,1607.23,349.094
530,0.53,1607.58,349.505
531,0.531,1607.92,349.913
532,0.532,1608.25,350.328
533,0.533,1608.6,350.749
534,0.534,1608.95,351.164
535,0.535,1609.3,351.576
536,0.536,1609.64,351.989
537,0.537,1609.99,352.404
538,0.538,1610.33,352.814
539,0.539,1610.68,353.225
540,0.54,1611.02,353.638
541,0.541,1611.37,354.04
542,0.542,1611.71,354.45
543,0.543,1612.05,354.867
544,0.544,1612.39,355.282
545,0.545,1612.74,355.693
546,0.546,1613.08,356.095
547,0.547,1613.42,356.503
548,0.548,1613.77,356.91
549,0.549,1614.11,357.323
550,0.55,1614.46,357.736
551,0.551,1614.8,358.142
552,0.552,1615.14,358.548
553,0.553,1615.49,358.954
554,0.554,1615.84,359.364
555,0.555,1616.18,359.776
556,0.556,1616.53,360.192
557,0.557,1616.88,360.605
558,0.558,1617.22,361.017
559,0.559,1617.56,361.412
560,0.56,1617.9,361.82
561,0.561,1618.25,362.226
562,0.562,1618.59,362.631
563,0.563,1618.94,363.041
564,0.564,1619.29,363.448
565,0.565,1619.63,363.848
566,0.566,1619.97,364.263
567,0.567,1620.32,364.666
568,0.568,1620.66,365.07
569,0.569,1621,365.465
570,0.57,1621.35,365.875
571,0.571,1621.7,366.278
572,0.572,1622.05,366.683
573,0.573,1622.39,367.087
574,0.574,1622.73,367.488
575,0.575,1623.08,367.897
576,0.576,1623.43,368.305
577,0.577,1623.77,368.715
578,0.578,1624.12,369.123
579,0.579,1624.47,369.531
580,0.58,1624.82,369.932
581,0.581,1625.16,370.338
582,0.582,1625.5,370.744
583,0.583,1625.85,371.145
584,0.584,1626.19,371.55
585,0.585,1626.54,371.952
586,0.586,1626.89,372.359
587,0.587,1627.24,372.76
588,0.588,1627.58,373.167
589,0.589,1627.93,373.57
590,0.59,1628.28,373.977
591,0.591,1628.62,374.387
592,0.592,1628.97,374.798
593,0.593,1629.33,375.204
594,0.594,1629.68,375.599
595,0.595,1630.02,376.008
596,0.596,1630.36,376.411
597,0.597,1630.72,376.818
598,0.598,1631.06,377.215
599,0.599,1631.41,377.616
600,0.6,1631.76,378.02
601,0.601,1632.11,378.437
602,0.602,1632.45,378.835
603,0.603,1632.8,379.235
604,0.604,1633.16,379.649
605,0.605,1633.51,380.052
606,0.606,1633.86,380.459
607,0.607,1634.22,380.868
608,0.608,1634.57,381.273
609,0.609,1634.92,381.674
610,0.61,1635.26,382.077
611,0.611,1635.61,382.479
612,0.612,1635.95,382.886
613,0.613,1636.3,383.283
614,0.614,1636.64,383.677
615,0.615,1636.99,384.08
616,0.616,1637.34,384.483
617,0.617,1637.7,384.884
618,0.618,1638.04,385.274
619,0.619,1638.39,385.675
620,0.62,1638.74,386.087
621,0.621,1639.09,386.488
622,0.622,1639.44,386.899
623,0.623,1639.79,387.297
624,0.624,1640.15,387.707
625,0.625,1640.5,388.11
626,0.626,1640.85,388.52
627,0.627,1641.2,388.917
628,0.628,1641.55,389.322
629,0.629,1641.9,389.718
630,0.63,1642.25,390.113
631,0.631,1642.6,390.518
632,0.632,1642.96,390.919
633,0.633,1643.3,391.329
634,0.634,1643.65,391.738
635,0.635,1644.01,392.137
636,0.636,1644.36,392.54
637,0.637,1644.71,392.93
638,0.638,1645.07,393.333
639,0.639,1645.43,393.743
640,0.64,1645.78,394.134
641,0.641,1646.13,394.538
642,0.642,1646.48,394.95
643,0.643,1646.84,395.352
644,0.644,1647.18,395.748
645,0.645,1647.54,396.139
646,0.646,1647.89,396.534
647,0.647,1648.25,396.929
648,0.648,1648.61,397.33
649,0.649,1648.95,397.721
650,0.65,1649.3,398.125
651,0.651,1649.65,398.521
652,0.652,1650,398.925
653,0.653,1650.36,399.32
654,0.654,1650.71,399.717
655,0.655,1651.07,400.114
656,0.656,1651.43,400.519
657,0.657,1651.78,400.909
658,0.658,1652.13,401.314
659,0.659,1652.48,401.7
660,0.66,1652.83,402.106
661,0.661,1653.18,402.504
662,0.662,1653.54,402.904
663,0.663,1653.89,403.3
664,0.664,1654.23,403.694
665,0.665,1654.58,404.089
666,0.666,1654.94,404.491
667,0.667,1655.29,404.889
668,0.668,1655.65,405.29
669,0.669,1656,405.691
670,0.67,1656.35,406.096
671,0.671,1656.71,406.503
672,0.672,1657.07,406.91
673,0.673,1657.42,407.307
674,0.674,1657.78,407.713
675,0.675,1658.14,408.114
676,0.676,1658.5,408.523
677,0.677,1658.86,408.918
678,0.678,1659.22,409.315
679,0.679,1659.58,409.709
680,0.68,1659.94,410.111
681,0.681,1660.29,410.514
682,0.682,1660.65,410.927
683,0.683,1661.01,411.321
684,0.684,1661.37,411.731
685,0.685,1661.73,412.138
686,0.686,1662.09,412.531
687,0.687,1662.44,412.93
688,0.688,1662.8,413.32
689,0.689,1663.15,413.718
690,0.69,1663.52,414.12
691,0.691,1663.88,414.525
692,0.692,1664.23,414.93
693,0.693,1664.59,415.324
694,0.694,1664.95,415.726
695,0.695,1665.31,416.127
696,0.696,1665.66,416.529
697,0.697,1666.02,416.924
698,0.698,1666.36,417.313
699,0.699,1666.71,417.716
700,0.7,1667.06,418.112
701,0.701,1667.42,418.508
702,0.702,1667.77,418.908
703,0.703,1668.12,419.308
704,0.704,1668.48,419.698
705,0.705,1668.84,420.086
706,0.706,1669.2,420.489
707,0.707,1669.56,420.893
708,0.708,1669.92,421.284
709,0.709,1670.27,421.679
710,0.71,1670.63,422.078
711,0.711,1670.99,422.475
712,0.712,1671.36,422.873
713,0.713,1671.72,423.267
714,0.714,1672.08,423.665
715,0.715,1672.43,424.057
716,0.716,1672.79,424.458
717,0.717,1673.14,424.863
718,0.718,1673.5,425.263
719,0.719,1673.86,425.66
720,0.72,1674.23,426.06
721,0.721,1674.58,426.451
722,0.722,1674.94,426.852
723,0.723,1675.3,427.25
724,0.724,1675.66,427.651
725,0.725,1676.02,428.046
726,0.726,1676.38,428.445
727,0.727,1676.73,428.839
728,0.728,1677.09,429.23
729,0.729,1677.45,429.622
730,0.73,1677.81,430.028
731,0.731,1678.16,430.416
732,0.732,1678.52,430.818
733,0.733,1678.89,431.22
734,0.734,1679.25,431.615
735,0.735,1679.61,432.013
736,0.736,1679.96,432.401
737,0.737,1680.33,432.792
738,0.738,1680.68,433.178
739,0.739,1681.04,433.58
740,0.74,1681.4,433.968
741,0.741,1681.76,434.367
742,0.742,1682.11,434.767
743,0.743,1682.47,435.16
744,0.744,1682.83,435.557
745,0.745,1683.19,435.955
746,0.746,1683.55,436.362
747,0.747,1683.91,436.752
748,0.748,1684.27,437.158
749,0.749,1684.63,437.565
750,0.75,1684.99,437.962
751,0.751,1685.35,438.358
752,0.752,1685.71,438.756
753,0.753,1686.07,439.151
754,0.754,1686.43,439.542
755,0.755,1686.79,439.936
756,0.756,1687.16,440.334
757,0.757,1687.53,440.73
758,0.758,1687.89,441.124
759,0.759,1688.26,441.517
760,0.76,1688.62,441.918
761,0.761,1688.99,442.319
762,0.762,1689.34,442.701
763,0.763,1689.7,443.091
764,0.764,1690.06,443.481
765,0.765,1690.42,443.863
766,0.766,1690.78,444.263
767,0.767,1691.14,444.666
768,0.768,1691.5,445.05
769,0.769,1691.87,445.45
770,0.77,1692.23,445.844
771,0.771,1692.59,446.229
772,0.772,1692.95,446.624
773,0.773,1693.31,447.013
774,0.774,1693.67,447.406
775,0.775,1694.03,447.798
776,0.776,1694.4,448.201
777,0.777,1694.77,448.595
778,0.778,1695.14,449.003
779,0.779,1695.5,449.406
780,0.78,1695.86,449.807
781,0.781,1696.23,450.198
782,0.782,1696.58,450.586
783,0.783,1696.95,450.989
784,0.784,1697.32,451.393
785,0.785,1697.69,451.783
786,0.786,1698.06,452.177
787,0.787,1698.43,452.573
788,0.788,1698.79,452.963
789,0.789,1699.15,453.362
790,0.79,1699.52,453.753
791,0.791,1699.89,454.144
792,0.792,1700.25,454.539
793,0.793,1700.61,454.934
794,0.794,1700.98,455.326
795,0.795,1701.34,455.714
796,0.796,1701.71,456.113
797,0.797,1702.08,456.508
798,0.798,1702.44,456.889
799,0.799,1702.8,457.29
800,0.8,1703.18,457.69
801,0.801,1703.54,458.079
802,0.802,1703.91,458.471
803,0.803,1704.28,458.879
804,0.804,1704.65,459.281
805,0.805,1705.02,459.673
806,0.806,1705.39,460.073
807,0.807,1705.76,460.471
808,0.808,1706.13,460.868
809,0.809,1706.5,461.274
810,0.81,1706.86,461.669
811,0.811,1707.23,462.062
812,0.812,1707.59,462.462
813,0.813,1707.95,462.855
814,0.814,1708.32,463.248
815,0.815,1708.69,463.649
816,0.816,1709.04,464.033
817,0.817,1709.42,464.434
818,0.818,1709.78,464.833
819,0.819,1710.14,465.219
820,0.82,1710.52,465.62
821,0.821,1710.89,466.013
822,0.822,1711.25,466.401
823,0.823,1711.61,466.789
824,0.824,1711.98,467.188
825,0.825,1712.34,467.576
826,0.826,1712.71,467.984
827,0.827,1713.09,468.391
828,0.828,1713.46,468.796
829,0.829,1713.84,469.191
830,0.83,1714.21,469.584
831,0.831,1714.58,469.983
832,0.832,1714.94,470.37
833,0.833,1715.31,470.766
834,0.834,1715.69,471.167
835,0.835,1716.05,471.557
836,0.836,1716.41,471.946
837,0.837,1716.78,472.338
838,0.838,1717.14,472.736
839,0.839,1717.52,473.123
840,0.84,1717.88,473.512
841,0.841,1718.25,473.922
842,0.842,1718.62,474.311
843,0.843,1718.99,474.711
844,0.844,1719.37,475.105
845,0.845,1719.74,475.499
846,0.846,1720.1,475.907
847,0.847,1720.47,476.298
848,0.848,1720.84,476.688
849,0.849,1721.2,477.067
850,0.85,1721.57,477.46
851,0.851,1721.94,477.858
852,0.852,1722.3,478.243
853,0.853,1722.66,478.632
854,0.854,1723.03,479.023
855,0.855,1723.4,479.408
856,0.856,1723.76,479.798
857,0.857,1724.14,480.202
858,0.858,1724.5,480.588
859,0.859,1724.86,480.977
860,0.86,1725.23,481.366
861,0.861,1725.59,481.755
862,0.862,1725.96,482.151
863,0.863,1726.33,482.549
864,0.864,1726.7,482.946
865,0.865,1727.08,483.355
866,0.866,1727.44,483.745
867,0.867,1727.82,484.143
868,0.868,1728.18,484.534
869,0.869,1728.56,484.938
870,0.87,1728.93,485.333
871,0.871,1729.3,485.735
872,0.872,1729.66,486.13
873,0.873,1730.03,486.515
874,0.874,1730.39,486.903
875,0.875,1730.76,487.284
876,0.876,1731.13,487.69
877,0.877,1731.51,488.08
878,0.878,1731.88,488.472
879,0.879,1732.24,488.861
880,0.88,1732.62,489.244
881,0.881,1732.99,489.64
882,0.882,1733.36,490.034
883,0.883,1733.73,490.423
884,0.884,1734.11,490.828
885,0.885,1734.49,491.211
886,0.886,1734.86,491.606
887,0.887,1735.23,491.994
888,0.888,1735.6,492.379
889,0.889,1735.98,492.774
890,0.89,1736.35,493.175
891,0.891,1736.71,493.572
892,0.892,1737.09,493.974
893,0.893,1737.47,494.372
894,0.894,1737.84,494.768
895,0.895,1738.21,495.17
896,0.896,1738.58,495.567
897,0.897,1738.95,495.964
898,0.898,1739.33,496.361
899,0.899,1739.7,496.76
900,0.9,1740.08,497.158
901,0.901,1740.45,497.551
902,0.902,1740.82,497.941
903,0.903,1741.2,498.342
904,0.904,1741.58,498.738
905,0.905,1741.95,499.138
906,0.906,1742.32,499.534
907,0.907,1742.71,499.925
908,0.908,1743.09,500.32
909,0.909,1743.46,500.729
910,0.91,1743.84,501.118
911,0.911,1744.21,501.504
912,0.912,1744.58,501.903
913,0.913,1744.95,502.29
914,0.914,1745.32,502.681
915,0.915,1745.7,503.074
916,0.916,1746.08,503.473
917,0.917,1746.46,503.874
918,0.918,1746.83,504.264
919,0.919,1747.2,504.645
920,0.92,1747.57,505.046
921,0.921,1747.95,505.44
922,0.922,1748.33,505.831
923,0.923,1748.7,506.235
924,0.924,1749.07,506.634
925,0.925,1749.45,507.027
926,0.926,1749.82,507.42
927,0.927,1750.19,507.805
928,0.928,1750.57,508.206
